gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
128up,71.6891232280182,-1.12567381816324,0.18242884525126,-6.17048151904293,6.80823332297358e-10,6.99975349812075e-09
14-3-3epsilon,1601.34678088746,0.166493017409488,0.0306666427213108,5.42912437212401,5.66312101765523e-08,4.59621498066144e-07
14-3-3zeta,5052.46759734571,0.241016060003538,0.0607500962614398,3.9673362650541,7.26804115648554e-05,0.000350114397546689
140up,2.41889590468755,0.843832985600732,0.793790600418776,1.0630423000166,0.287762769014946,0.428373692410897
18SrRNA-Psi:CR41602,69.4293117305553,-0.397272729571271,0.193326417056587,-2.05493245889406,0.0398855288051316,0.0926984762137889
18w,389.59273680579,1.15411118581053,0.187671517164849,6.14963422924095,7.76618369386843e-10,7.93425259256351e-09
26-29-p,215.923217358606,-2.24234074317508,0.11516485836129,-19.4707029130406,1.94583069281992e-84,2.06039829435979e-82
28SrRNA-Psi:CR40596,589.854325939658,-0.889716476728478,0.110945057773909,-8.01943317332443,1.06234246028529e-15,1.76227526720825e-14
28SrRNA-Psi:CR40741,50.716418919393,-0.499487779067503,0.183298896179266,-2.72499065449365,0.00643033071645111,0.0194126424240317
28SrRNA-Psi:CR41609,0.186113818232846,-0.760510027520184,3.11441647247866,-0.244190214841408,0.807083505144844,NA
28SrRNA-Psi:CR45848,88.4992994384179,-0.380148238833524,0.159415370878562,-2.3846398044208,0.0170958508403328,0.0453090035136773
28SrRNA-Psi:CR45851,0.502662272996422,0.667366405180702,1.57497772308582,0.423730694979702,0.671762226836147,0.779127074259719
28SrRNA-Psi:CR45853,0,NA,NA,NA,NA,NA
28SrRNA-Psi:CR45855,0.121238401389516,-0.323466830365555,3.11653965008542,-0.103790378651749,0.917335701954465,NA
28SrRNA-Psi:CR45859,717.678192823813,-0.77999340773134,0.18385517651842,-4.24243375955854,2.21108814351239e-05,0.000118503446859013
28SrRNA-Psi:CR45860,0.227357934142555,0.15743108215383,2.3934753335874,0.0657751011446058,0.947556879705725,NA
2mit,118.319300876564,0.63208907122704,0.338276894831387,1.86855526015781,0.0616847151885115,0.131766180823121
312,56.7645780094284,-0.0301647834682027,0.147222075877258,-0.204893072512791,0.837655667736987,0.899671885056409
4E-T,586.286364665796,0.0010080571385683,0.06369879390674,0.0158253724559397,0.987373706677212,0.992102172459455
5-HT1A,356.466768040192,0.493955270356259,0.270980217874132,1.82284623664188,0.0683266826389433,0.142935988607686
5-HT1B,119.576663697761,0.605776172352037,0.266545161633535,2.27269618641549,0.0230444946345763,0.0584103186151566
5-HT2A,229.753275693237,1.54130955575387,0.15354705904354,10.0380272038738,1.03727875029141e-23,2.46898492453816e-22
5-HT2B,116.271717458405,0.471219785434607,0.336927117667757,1.39858076339013,0.161938738226212,0.278825480344801
5-HT7,342.655994855665,0.232310573485619,0.321521431617459,0.722535267142063,0.469965450683002,0.612316991287766
5.8SrRNA-Psi:CR45849,0.168729054392386,0.638318186227342,3.11653965008542,0.204816321271525,0.837715634801269,NA
5.8SrRNA-Psi:CR45857,0,NA,NA,NA,NA,NA
5.8SrRNA-Psi:CR45863,0.100259483800623,1.11920952679275,3.11653965008542,0.359119296544831,0.719505846621061,NA
5PtaseI,152.124995361015,-0.241282206641256,0.0951143947052357,-2.53675805212242,0.0111884249856361,0.0314163209633845
7B2,255.844953913704,0.594328919479582,0.349935137078519,1.69839737855826,0.089432786540807,0.176497730623122
825-Oak,1.90889449504064,-4.07005487773626,1.03777439170157,-3.92190721825663,8.78508224134711e-05,0.000415594913546817
